,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of Movies,Votes,Gross
259,The Big Lebowski,1998,117,8.1,71,"752,502",$17.50M
260,Fa yeung nin wah,2000,98,8.1,85,"132,144",$2.73M
261,Trainspotting,1996,93,8.1,83,"646,875",$16.50M
262,Fargo,1996,98,8.1,85,"633,550",$24.61M
263,Underground,1995,170,8.1,79,"56,100",$0.17M
264,La haine,1995,98,8.1,^^,"156,471",$0.31M
265,Dilwale Dulhania Le Jayenge,1995,189,8.1,^^,"65,414",^^
266,Before Sunrise,1995,101,8.1,77,"281,506",$5.54M
267,Trois couleurs: Rouge,1994,99,8.1,100,"94,217",$4.04M
268,Chung Hing sam lam,1994,102,8.1,77,"68,649",$0.60M
269,Andaz Apna Apna,1994,160,8.1,^^,"50,999",^^
270,Jurassic Park,1993,127,8.1,68,"892,586",$402.45M
271,In the Name of the Father,1993,133,8.1,84,"162,840",$25.01M
272,Ba wang bie ji,1993,171,8.1,83,"25,927",$5.22M
273,Dà hóng denglong gaogao guà,1991,125,8.1,^^,"30,426",$2.60M
274,Dead Poets Society,1989,128,8.1,79,"440,955",$95.86M
275,The Princess Bride,1987,98,8.1,77,"401,401",$30.86M
276,Stand by Me,1986,89,8.1,75,"373,439",$52.29M
277,Platoon,1986,120,8.1,92,"389,138",$138.53M
278,Sacrifice,1986,149,8.1,^^,"25,619",$0.30M
279,"Paris, Texas",1984,145,8.1,78,"96,202",$2.18M
280,Kaze no tani no Naushika,1984,117,8.1,86,"156,425",$0.50M
281,The Thing,1982,109,8.1,57,"381,903",$13.78M
282,Fitzcarraldo,1982,158,8.1,^^,"32,586",^^
283,Fanny och Alexander,1982,188,8.1,100,"59,134",$4.97M
284,Blade Runner,1982,117,8.1,84,"709,798",$32.87M
285,The Elephant Man,1980,124,8.1,78,"225,556",^^
286,Stalker,1979,162,8.1,^^,"121,484",$0.23M
287,Life of Brian,1979,94,8.1,77,"375,221",$20.05M
288,The Deer Hunter,1978,183,8.1,86,"318,485",$48.98M
289,Rocky,1976,120,8.1,70,"531,884",$117.24M
290,Network,1976,121,8.1,83,"148,424",^^
291,Barry Lyndon,1975,185,8.1,89,"154,651",^^
292,Zerkalo,1975,107,8.1,80,"41,725",$0.18M
293,Paper Moon,1973,102,8.1,77,"43,429",$30.93M
294,Viskningar och rop,1972,91,8.1,^^,"31,302",$1.74M
295,Solaris,1972,167,8.1,90,"83,472",^^
296,Le samouraï,1967,105,8.1,^^,"47,114",$0.04M
297,Cool Hand Luke,1967,127,8.1,92,"165,872",$16.22M
298,Persona,1966,85,8.1,86,"107,606",^^
299,Andrei Rublev,1966,205,8.1,^^,"49,064",$0.10M
300,La battaglia di Algeri,1966,121,8.1,96,"55,065",$0.06M
301,El ángel exterminador,1962,95,8.1,^^,"30,574",^^
302,What Ever Happened to Baby Jane?,1962,134,8.1,75,"51,596",$4.05M
303,Sanjuro,1962,96,8.1,^^,"34,152",^^
304,The Man Who Shot Liberty Valance,1962,123,8.1,94,"70,941",^^
305,Ivanovo detstvo,1962,95,8.1,^^,"33,069",^^
306,Jungfrukällan,1960,89,8.1,^^,"27,404",$1.53M
307,Inherit the Wind,1960,128,8.1,75,"28,109",^^
308,Les quatre cents coups,1959,99,8.1,^^,"108,875",^^
309,Ben-Hur,1959,212,8.1,90,"224,048",$74.70M
310,Kakushi-toride no san-akunin,1958,139,8.1,^^,"36,005",^^
311,Le notti di Cabiria,1957,110,8.1,^^,"44,239",$0.75M
312,Kumonosu-jo,1957,110,8.1,^^,"48,201",^^
313,The Bridge on the River Kwai,1957,161,8.1,87,"207,897",$44.91M
314,Du rififi chez les hommes,1955,118,8.1,97,"31,029",$0.06M
315,On the Waterfront,1954,108,8.1,91,"145,457",$9.60M
316,Les diaboliques,1955,117,8.1,^^,"62,599",^^
317,Le salaire de la peur,1953,131,8.1,85,"56,375",^^
318,Ace in the Hole,1951,111,8.1,72,"32,669",$3.97M
319,White Heat,1949,114,8.1,^^,"30,553",^^
320,The Third Man,1949,104,8.1,97,"162,243",$0.45M
321,The Red Shoes,1948,135,8.1,^^,"31,939",$10.90M
322,The Best Years of Our Lives,1946,170,8.1,93,"58,483",$23.65M
323,The Shop Around the Corner,1940,99,8.1,96,"29,299",$0.20M
324,Rebecca,1940,130,8.1,86,"127,316",$4.36M
325,The Grapes of Wrath,1940,129,8.1,96,"86,862",$0.06M
326,Mr. Smith Goes to Washington,1939,129,8.1,73,"109,350",$9.60M
327,Gone with the Wind,1939,238,8.1,97,"296,138",$198.68M
328,La Grande Illusion,1937,113,8.1,^^,"34,517",$0.17M
329,It Happened One Night,1934,105,8.1,87,"96,646",$4.36M
330,All Quiet on the Western Front,1930,152,8.1,91,"58,170",$3.27M
331,La passion de Jeanne d'Arc,1928,110,8.1,^^,"49,570",$0.02M
332,The Circus,1928,72,8.1,90,"31,197",^^
333,Sunrise: A Song of Two Humans,1927,94,8.1,^^,"48,015",$0.54M
334,The General,1926,67,8.1,^^,"83,349",$1.03M
335,Das Cabinet des Dr. Caligari,1920,76,8.1,^^,"58,863",^^
336,Badhaai ho,2018,124,8,^^,"29,814",^^
337,Togo,2019,113,8,69,"41,412",^^
338,Airlift,2016,130,8,^^,"54,096",^^
339,Bajrangi Bhaijaan,2015,163,8,^^,"79,080",$8.18M
340,Baby,I 2015,159,8,^^,"54,232",^^
341,La La Land,2016,128,8,94,"526,140",$151.10M
342,Lion,2016,118,8,69,"221,244",$51.74M
343,The Martian,2015,144,8,80,"782,273",$228.43M
344,Zootopia,2016,108,8,78,"449,420",$341.27M
345,Bãhubali: The Beginning,2015,159,8,^^,"106,649",$6.74M
346,Kaguyahime no monogatari,2013,137,8,89,"41,121",$1.51M
347,Wonder,I 2017,113,8,66,"149,348",$132.42M
348,Gully Boy,2019,154,8,65,"34,194",$5.57M
349,Special Chabbis,2013,144,8,^^,"52,623",$1.08M
350,Short Term 12,2013,96,8,82,"83,745",$1.01M
351,Serbuan maut 2: Berandal,2014,150,8,71,"116,837",$2.63M
352,The Imitation Game,2014,114,8,73,"706,057",$91.13M
353,Guardians of the Galaxy,2014,121,8,76,"1,073,049",$333.18M
354,Blade Runner 2049,2017,164,8,81,"484,680",$92.05M
355,Her,2013,126,8,90,"558,118",$25.57M
356,The Revenant,2015,156,8,76,"728,063",$183.64M
357,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,8,71,"80,287",$0.10M
358,The King's Speech,2010,118,8,88,"650,714",$138.80M
359,The Help,2011,146,8,62,"435,737",$169.71M
360,Deadpool,2016,108,8,65,"930,494",$363.07M
361,Darbareye Elly,2009,119,8,87,"47,836",$0.11M
362,Dev.D,2009,144,8,^^,"29,394",$0.01M
363,Ip Man,2008,106,8,59,"214,675",^^
364,My Name Is Khan,2010,165,8,50,"101,332",$4.02M
